매장명,전화번호,주소
인천 숭의점,032-881-9282,인천 미추홀구 숭의동 331-12
대구 범어점,053-742-7742,대구 수성구 범어동 2250
분당 서현점,031-703-9003,경기 성남시 분당구 서현동 311
김포 운양점,031-988-9995,경기도 김포시 운양동 1298-3
하남 미사역점,031-794-7233,경기도 하남시 미사강변중앙로 157
경산 영대점,053-814-9290,경북 경산시 청운1로 54
천안 성정점,041-578-8288,충남 천안시 서북구 성정동 1040
김포 북변점,031-988-0599,경기도 김포시 북변중로 125
강북 미아뉴타운점,02-989-9977,서울시 강북구 미아동 811-9
대전 신탄진점,042-934-6699,대전 대덕구 신탄진동로23번길 14
김포 통진점,031-982-5492,경기도 김포시 통진읍 조강로 78
천안 쌍용점,041-592-1237,충남 천안시 서북구 쌍용동 1107-1
대구 호산점,053-592-8530,대구 달서구 호산동로 150
충남 홍성점,041-633-2988,충남 홍성군 홍성읍 아문길 54
서울 망원점,02-322-9900,서울시 마포구 망원로 55
청주 분평점,043-286-8288,충북 청주시 서원구 청남로 2018
광주 효천점,062-653-8253,광주 남구 행암동 569
포천 송우점,031-544-4718,경기 포천시 소흘읍 봉솔로1길 22
인천 논현역점,032-438-9992,인천 남동구 논현동 631-5 103호
인천 운서점,032-751-6500,인천 중구 영종대로 166 솔리움센텀스카이 1층 122호
구미 인동점,054-472-9959,경북 구미시 구평동 463-13
시흥 연성점,031-318-8292,경기 시흥시 하상동 377-4
동해 이도점,033-522-0844,강원도 동해시 이원길 156-7
대전 문화점,042-252-9294,대전 중구 문화동 1-72
울산 방어점,052-201-9296,울산 동구 꽃바위로 246
북서울꿈의숲점,02-988-7272,서울 강북구 미아동 4 꿈의숲롯데캐슬 상가 102호
포항 흥해초곡점,054-262-2098,경북 포항시 북구 흥해읍 흥해로 30
인천 강화점,032-933-8972,인천시 강화군 강화읍 갑곳리 391
제주 구좌종달점,064-784-6212,제주도 제주시 구좌읍 종달리 2762
강원 철원와수점,033-458-1966,강원 철원군 서면 무금로 1
서울 망우점,02-435-0505,서울 중랑구 망우동 495
전주 평화점,063-221-6311,전북 전주시 완산구 평화로 158
광주 풍암점,062-654-7724,광주 서구 풍암동 1084-3
청주 율량점,043-211-3454,충북 청주시 청원구 주성로96번길 30
일산 마두점,031-906-9244,경기 고양시 일산동구 일산로 238 대원빌딩 104호
고양 삼송점,02-381-3314,경기도 고양시 덕양구 덕수천2로 150 상가동 1층 128호
시흥 장곡점,031-317-3786,경기 시흥시 장곡동 810-6
춘천 퇴계한숲점,033-243-7792,강원 춘천시 안마산로 131 한숲시티상가C동 1층 103호
충남 예산점,041-333-4456,충남 예산군 예산읍 아리랑로 56
부산 반송점,051-545-9996,부산시 해운대구 신반송로 193
대구 테크노폴리스점,053-611-6689,대구 달성군 현풍읍 중리 467
전북 남원점,063-625-7767,전북 남원시 낙현길 10
화성 조암화산점,031-358-7244,경기 화성시 우정읍 남양만로 867-10
순천 금당점,061-903-8892,전남 순천시 해룡면 조례못등3길 11-10
구미 선산점,054-481-8855,경북 구미시 선산읍 교리2길 9
구미 문성점,054-444-3339,경북 구미시 고아읍 들성로 127
김포 마산점,031-986-9996,경기 김포시 마산동 666-12
강남 청담점,02-540-4142,서울 강남구 청담동 46-9
대구 삼덕점,053-257-2999,대구 중구 삼덕동3가 45-1
하남 풍산점,031-793-9992,경기 하남시 풍산동 634
의정부 호원점,031-879-9696,경기도 의정부시 호암로 243-11
서울 신내점,02-2209-3232,서울 중랑구 신내동 462-4
청주 복대점,043-234-8999,충북 청주시 흥덕구 복대동 203-58
하남 신장점,031-793-9002,경기 하남시 신장동 97-32
울산 덕신점,052-238-0303,울산시 울주군 온산읍 덕신리 1289-10
광주 송정점,062-941-9633,광주 광산구 송도로 221
서울 여의도점,02-782-8585,서울 영등포구 63로 45 시범아파트 상가 4동
울산 매곡점,052-282-8833,울산 북구 매곡동 422-4
대구 시민운동장점,053-355-7789,대구 북구 고성동2가 4-2
대구 신매점,053-792-9982,대구 수성구 신매동 594-1 상가102호
서울 양천향교점,02-3662-1636,서울시 강서구 강서로 511
용인 동천점,031-276-2332,경기 용인시 수지구 동천동 174-14
인천 옥련점,032-859-2255,인천 연수구 청량로184번길 17
광주 월산점,062-369-3695,광주 남구 월산동 244-3
수원 구운점,031-227-3537,경기도 수원시 권선구 구운중로3번길 7
제주 김녕점,064-782-1485,제주도 제주시 구좌읍 김녕로21길 8
천안 신계점,041-557-3565,충남 천안시 동남구 목천읍 교천지산길 16
논산 건양대점,041-736-5500,충남 논산시 내동 1140
영광 홍농점,061-356-7897,전남 영광군 홍농읍 상하길 50
경주 충효점,054-746-7833,경북 경주시 충효동 2944-16
아산 온양점,041-541-7942,충남 아산시 모종동 644
전주 만성혁신점,063-211-7070,전북 전주시 덕진구 만성동 1373-2
나주 혁신점,061-332-7999,전남 나주시 빛가람동 374  대방엘리움2차 111호
서울 보문점,02-925-9933,서울 성북구 보문동4가 74
울산 송정점,052-288-3121,울산시 북구 박상진4로 72
천안 용곡점,041-575-0942,충남 천안시 동남구 용곡동 595
부산 정관신도시점,051-728-5996,부산 기장군 정관읍 정관4로 45
용인 동백점,031-8005-5333,경기 용인시 기흥구 언동로217번길 6
안산 고잔점,031-411-1221,경기 안산시 단원구 고잔동 681-7
대구 동천점,053-324-3393,대구 북구 동천동 942-13
여수 돌산점,061-643-6432,전남 여수시 돌산읍 우두리 1092-16
대전 선화점,042-223-9233~4,대전 중구 선화동 419-30
평택 소사점,031-655-2442,경기도 평택시 소사동 524
오산 남촌점,031-373-3636,경기 오산시 궐리사로29번길 22
서울 방화점,02-2665-9988,서울 강서구 방화동 487-14
부산 용호점,051-625-7630,부산 남구 용호동 181-1
서울 면목1점,02-436-7942,서울 중랑구 면목동 1096-16
광주 신창점,062-955-3938,광주 광산구 신창로 8-6, 1층
충북 증평점,043-836-1155,충북 증평군 증평읍 장뜰로 73, 2층
울산 무거점,052-222-7900,울산시 남구 무거동 277-6
대전 지족점,042-826-9969,대전 유성구 지족동 1034-1
광주 문흥점,062-266-0997,광주 북구 문흥동 972-4
서울 상봉점,02-435-4477,서울 중랑구 상봉동 268-34
아산 신도시점,041-531-9249,충남 아산시 배방읍 장재리 1555
광주 운남점,062-951-9282,광주 광산구 운남동 791-2
천안 직산점,041-587-8713,충남 천안시 서북구 성거읍 신월리 7-2
경남 사천점,055-854-0819,경남 사천시 사천읍 사주리 5-8
울산 양정점,052-289-9927,울산시 북구 염포로 529
무안 남악점,061-283-7792,전남 무안군 삼향읍 남악리 2139
이천 마장점,031-637-7773,경기 이천시 마장면 중앙로5번길 6, 1층
순천 북부점,061-751-8492,전남 순천시 용당동 433
구미 옥계점,054-476-9229,경북 구미시 거의동 614-2
서울 홍제점,02-722- 9589,서울 서대문구 홍제동 95-1
광주 백운양림점,062-651-9993,광주시 남구 독립로54번길 19
원주 무실점,033-734-2992,강원도 원주시 무실동 1880-2
오산 원동점,031-372-9277,경기도 오산시 원동 373-4
부산 사직점,051-506-3200,부산 동래구 사직동 43-11
경남 밀양점,055-355-0070,경남 밀양시 약산로 32-1
시흥 목감점,031-480-4802,경기 시흥시 조남동 666
안동 용상정하점,054-823-3326,경북 안동시 용상동 1019-4
안산 중앙역점,031-413-2303,경기 안산시 단원구 고잔1길 76
천안 청당점,041-523-7376,충남 천안시 동남구 청당동 389-51
제주 하귀점,064-711-8544,제주도 제주시 애월읍 하귀9길 1
경주 현곡금장점,054-742-6000,경북 경주시 현곡면 금장5길 36
목포 하당점,061-287-0909,전남 목포시 백년대로337번길 30
진주 초전점,055-762-1982,경남 진주시 초전동 1724-3
목포 옥암점,061-287-5453,전남 목포시 옥암동 1151-1
공주 신관점,041-852-7203,충남 공주시 번영2로 47
광주 전대점,062-522-0777,광주 북구 중흥동 353-2
제주 서귀포점,064-733-8886,제주도 서귀포시 서귀동 288-8
인천 연수점,032-813-3100,인천 연수구 샘말로 73
광주 치평점,062-385-9301,광주시 서구 치평동 1249
광주 첨단점,062-972-8778,광주 광산구 산월동 885-3
대구 방촌점,053-985-9995,대구 동구 방촌동 1071-14
안산 월피점,031-414-3393,경기도 안산시 상록구 충장로 611
진주 평거신안점,055-747-1021,경남 진주시 평거동 300-1, 1층
안산 사동점,031-416-1188,경기도 안산시 상록구 사동 1469-8
김해 북부점,055-326-4000,경남 김해시 삼계동 1447-5
대구 상동중동점,053-767-8295,대구시 수성구 수성로 135
부평 삼산점,032-503-1721,인천 부평구 삼산동 513 서해그랑블2단지 상가
청주 방서점,043-295-3335,충북 청주시 상당구 방서동 644-17 두진하트리움 상가 108호
인천 청천점,032-529-0010,인천 부평구 청천동 392-8,1층
김해 내외점,055-333-9592,경남 김해시 분성로 46
부천 중동점,032-323-7873,경기 부천시 원미구 중동 1185-2, 금호 아파트 상가 108호
대구 신천점,053-751-9293,대구 동구 신천동 21-1
부산 당리점,051-208-3598,부산 사하구 당리동 326-1
광주 진월점,062-461-8292,광주 남구 진월동 274-1
서울 등촌점,02-6339-3500,서울 강서구 등촌동 628-32 샤르망 상가 1층
광주 금호점,062-681-7892,광주시 서구 금호동 813 대주파크빌상가 124동 107호
서울 신월점,02-2608-8255,서울 강서 화곡동 935-15
전남 나주점,061-337-9933,전남 나주시 송월2길 24
부산 가야점,051-891-7979,부산 진구 가야대로 527번길 7
서울 창동점,02-993-8899,서울 도봉구 해등로 148
경북 왜관점,054-975-8885,경북 칠곡군 왜관읍 구상길 180
남양주 별내별빛점,031-527-4555,경기 남양주시 별내5로 5길 25
경기 여주점,031-883-5454,경기 여주시 세종로 79번길 7-1, 2층
전주 삼천점,063-225-5751,전북 전주시 완산구 삼천동1가 305-39
용인 김량장동점,031-333-9581,경기 용인시 처인구 김량장동 344-6
인천 논현점,032-421-1230,인천 남동구 소래역로46 청호빌딩 103호
광주 운암동천점,062-527-8292,광주 북구 운암동 782-21
대구 사수점,053-313-8253,대구 북구 내곡로 75 대명프라자 102호
양주 옥정점,031-859-8292,경기도 양주시 옥정동로5나길 115
익산 부송점,063-835-1003,전북 익산시 부송동 1210
충주 연수교현점,043-848-9998,충북 충주시 연수서2길 10
화성 남양점,031-366-9279,경기도  화성시 남양로 839
울산 삼산점,052-269-0852,울산시 남구 삼산동 1624-1 코아루벨라체 상가 114호
수원 금곡점,031-292-0609,경기 수원시 권선구 금곡로 196번길 67
진주 도동점,055-759-4200,경남 진주시 상대동 310-55, 1층
청주 산남점,043-294-3988,충북 청주시 서원구 두꺼비로 78번길 63-1, 2층
고양 탄현점,031-919-9982,경기도 고양시 일산 서구 현중로 36번길 66
광주 화정점,062-375-9255,광주시 서구 화운로 114
대구 태전점,053-324-0999,대구시 북구 태전동 257-4번지
강릉 노암점,033-655-0092,강원 강릉시 강변로 270
춘천 후평점,033-252-6600,강원 춘천시 춘천로 270
인천 청라호수공원점,032-563-9133,인천시 서구 솔빛로 86, 1층
의정부 녹양가능점,031-875-4492,경기도 의정부시 녹양동 341
충북 진천점,043-533-4282,충북 진천군 진천읍 상산로 10-10
진해 경화점,055-715-9292,경남 창원시 진해구 경화동 1283-13
파주 운정이마트점,031-949-6667,경기 파주시 동패동 1758-4 상가102호
당진 현대제철점,041-357-9994,충남 당진시 송산면 동곡리408
대구 송현점,053-653-5233,대구 달서구 월배로 427
대전 상대점,042-822-6292,대전시 유성구 상대동로36번길 61-13
충남 서산시청점,041-663-0426,충남 서산시 읍내동 437,1층
동탄 산척점,031-376-4560,경기도 화성시 산척동 416, 상가144호
충남 보령점,041-932-4343,충남 보령시 한내로7
남양주 진접점,031-529-9095,경기도 남양주시 진접읍 부평리 750-2
제주 함덕점,064-783-1191,제주도 제주시 조천읍 함덕리 4157-4
서울 구산역점,02-356-3430,서울시 은평구 갈현동 468-5
인천 청라점,032-568-9289,인천시 서구 청라동 121-13
인천 운남점,032-752-2018,인천 중구 운남동 1523-6
이천 갈산점,031-637-9234,경기도 이천시 향교로 172-11
부산 온천점,051-556-9956,부산 동래구 온천장로 125번길 69, 1층
성남 수진점,031-721-1120,경기 성남시 수진동 4660, 1층
대구 복현점,053-384-8292,대구 북구 복현동 539-106 보성타운105호
김천 부곡점,054-436-5910,경북 김천시 부곡맛고을 2길 64번지
광명 소하2동점,02-2659-6789,경기 광명시 영당안로 50
전남 장흥점,061-862-7776,전남 장흥군 장흥읍 건산리 473-24
인천 검단점,032-568-8944,인천시 서구 마전동 203-2 1층
경북 영주점,054-632-5592,경북 영주시 꽃동산로31번길 2
김포 풍무점,031-985-3277,경기도 김포시 풍무동 807, 1층
전북 군산대점,063-466-9293,전북 군산시 미룡동 421-8
세종 소담점,044-863-1177,세종시 소담동 325, 1층
용인 풍덕천점,031-265-1779,경기 용인시 수지구 풍덕천동 705-7번지 1층
파주 운정점,031-944-0148,경기 파주시 와석순환로 380 해솔마을 6단지 상가3동104호
경주 황성점,054-744-9289,경주시 황성동 260-10
충북 괴산점,043-832-9989,충북 괴산군 괴산읍 동부리 630-4, 2층
원주 문막점,033-735-5982,강원 원주시 문막읍 건등로 53
여수 엑스포점,061-666 -1678,전남 여수시 덕충동 2033 시티프라디움 1단지 상가3동 J-122호
김해 율하점,055-313-5484,경남 김해시 율하동 1306-5
인천 작전점,032-551-4122,인천 계양구 작전동 636-8
대구 율하점,053-963-7282,대구 동구 신기동 547-6
동탄 반송점,031-613-9280,경기 화성시 동탄반송3길 46-2
제주 조천점,064-782-0727,제주도 제주시 조천읍 신북로 88
광주 두암점,062-267-7995,광주광역시 북구 두암동 827-28
성남 신흥점,031-755-9982,경기 성남시 수정구 신흥동 5541
부산 동삼점,051-405-9293,부산 영도구 함지로 19 동삼반도보라 상가 B동 103호
경북 문경점,054-554-2530,경북 문경시 모전동83-28
울산 달동점,052-265-2905,울산시 남구 달동 1401-4
안산 선부점,031-410-8259,경기 안산시 단원구 선부동 975-3
청주 가경점,043-238-2290,충북 청주시 흥덕구 가경로 180, 1층
안동 안기점,054-843-5592,경북 안동시  안기1길 5
강원 봉평점,033-333-7780,강원 평창군 봉평면 흥정계곡길 10
서울 천호점,02-488-2934,서울 강동구 천호동 364-4 한솔빌딩1층
평택 지산점,031-663-2844,경기평택시지산동848
부산 부곡점,051-515-3337,부산 금정구 부곡3동 64-23, 퀸즈w 상가 110호
인천 원당점,032-563-5049,인천 서구 당하동 1028-8
평택 청북점,031-683-1388,경기 평택시 청북읍 옥길리 1071 브라운스톤 상가 1층
제주 서귀포혁신도시점,064-738-9005,제주도 서귀포시 법환동 749번지
충북 교동점,043-653-7900,충북 제천시 명륜로 140 C동 104호
평택 서정점,031-664-6675,경기 평택시 서정동 853-9
제주 삼도점,064-723-0333,제주도 제주시 전농로33
김포 장기점,031-997-0056,경기도 김포시 태장로 825 자이애비뉴2 106호
동탄 장지점,031-372-9906,경기 화성시 동탄장지천2길 22-30
전남 해남점,061-532-1470,전남 해남군 해남읍 해리 524-3
제주 노형점,064-744-5313,제주도 제주시 노형동 2611-3
전남 광양읍점,061-761-4682,전남 광양시 광양읍 구산리 765-7
제주 외도점,064-713-4949,제주도 제주시 외도일동 645-1
대구 불로봉무점,053-986-7008,대구시 동구 팔공로 31길 6-4
대구화원점,053-637-9595,대구 달성군 화원읍 본리리 58번지
김해 진영점,055-342-8759,경남 김해시 진영읍 진영리 1584-6 1층
포항연일점,054-285-9288,포항 남구 연일읍 오천리 717-1
충북영동점,043-744-7745,충북 영동군 영동읍 계산리192-2
속초영랑점,033-631-3399,강원 속초시 중앙로 286
인천 만수향촌점,032-466-6650,인천 남동구 만수동 5-132번지
울산 전하점,052-201-2799,울산시 동구 전하동 648-10
전주아중점,063-245-2340,전북 전주시 덕진구 인후동1가 876-11
충남서천점,041-951-4141,충남 서천군 서천읍 서천로 107-1
충남 금산점,041-754-4888,충남 금산군 아인리 638
목포 연산북항점,061-277-3956,전남 목포시 산정동 1768-8
서울목동1.2단지점,02-2642-0748,서울 양천구 목동 902번지 2단지 일반상가 108호
마산양덕점,055-291-1020,경남 창원시 마산회원구 양덕동 63-12
경북 성주점,054-931-0099,경북 성주군 성주읍 예산리 869
광주봉선점,062-416-0033,광주시 남구 효사랑길 9
경북영덕점,054-733-7977,경북 영덕군 영덕읍 중앙길 57
군산 미장점,063-451-6511,전북 군산시 미장동 540-11, 1층
서울이문점,02-969-3530,서울 동대문구 이문동 176-2
파주문산점,031-952-5333,경기 파주시 문산읍 당동리 902번지 뚱발2프라자 141호
서울 용두점,02-927-5989,서울시 동대문구 무학로26길 21
강릉포남점,033-653-9288,강원 강릉시 포남동 1069, 1층
밀양무안점,055-353-7084,경남 밀양시 무안면 사명로 514-1 2층
광주우산점,062-954-8891,광주광역시 광산구 우산동 1576-5, 2층
인천주안점,032-873-2252,인천 남구 주안5동 32-1
동해천곡점,033-535-8283,강원 동해시 천곡동 1086-9
전남 화순점,061-373-9299,전남 화순군 화순읍 향청리 6-2
부산구서점,051-514-4545,부산 금정구 구서동 201-40
의정부 민락점,031-852-0098,경기도 의정부시 오목로77
대전 관저점,042-541-5177, 8177,대전 서구 관저동 1282
부산화명점,051-365-7700,부산 북구 용당로9번길 12 2층
김해삼정점,055-321-1919,경남 김해시 삼정동 634-1
광주 일곡삼각점,062-573-8252,광주 북구 송해로 42
김해장유점,055-312-9919,경남 김해시 대청동 332-2
합포오동점,055-293-9500,경남 창원시 마산합포구 회원천북길 491
양주고읍점,031-841-6878,경기 양주시 고읍남로 191번길  86-6
충북옥천점,043-733-0666,충북 옥천군 옥천읍 가화길 16
고양토당점,031-973-1314,경기 고양시 덕양구 토당동 836-12
전남 광양점,061-791-9944,전남 광양시 공영로 100
제주 보목점,064-733-8892,제주도 서귀포시 보목동 칠십리로428
전주서신점,063-275-8292,전북 전주시 완산구 당산로 17
여수 신기점,061-692-5557,전남 여수시 새터로 63
인천연희점,032-566-4479,인천 서구 심곡로 199 잉글우드빌딩 102호
여수학동점,061-681-9200,전남 여수시 소호로 658
대구만촌점,053-745-7757,대구 수성구 동원로 135 메트로팔레스 1단지아파트 121동 201호
제주 이도점,064-755-3737,제주도 제주시 남광로16
창원 장천점,055-545-8818,경남 창원시 진해구 행암로 5
대구 대곡도원점,053-642-9929,대구시 달서구 한실로 117
제주 연동점,064-743-5313,제주도 제주시 연동 3길 15
경산옥산점,053-814-0013,경북 경산시 성암로 101
경산하양점,053-851-9588,경북 경산시 하양읍 금락리 대학로298길 19-7
제주 오라점,064-711-8254,제주도 제주시 연사길 51-11
서울 공릉점,02-971-3799,서울시 노원구 동일로176길 41
광주수완직영점,062-953-8292,광주광역시 광산구 임방울대로 318
제주 삼화지구점,064-722-9625,제주도 제주시 화삼로1길 5
강원 태백점,033-552-9910,강원도 태백시 황지동 400-23
양산 물금가촌점,055-382-9288,경남 양산시 물금읍 새실로 159
창원팔용점,055-291-9293,경남 창원시 의창구 평산로159번길 42
광주첨단2지구점,062-410-9292,광주광역시 북구 첨단연신로133번길 4 호반베르디움1차상가 102호
여수여서점,061-666-8999,전남 여수시 여서1로 21-1
전북김제점,063-544-1759,전북 김제시 금성8길 56 103호
경남고성점,055-673-9757,경남 고성군 고성읍 동외로168번길 79 101호
목포삼학로점,061-273-8892,전남 목포시 삼학로 343번길 5-1
대구평리점,053-521-9907,대구 서구 문화로 289
경주 동천점,054-748-9914,경북 경주시 초당길19번길 24
대구죽전점,053-552-0055,대구 달서구 달구벌대로307길 18
부산모라점,051-988-5568,부산 사상구 백양대로 984
통영용남점,055-646-9120,경남 통영시 용남면 견유1길 140 1층
경기안양1번가점,031-469-5577,경기 안양시 만안구 장내로 141-1
남양주오남점,031-527-9785,경기 남양주시 진접읍 진건오남로 781-56
포항문덕점,054-292-9295,경북 포항 남구 오천읍 냉천로298번길 41
창원봉림점,055-288-0929,경남 창원시 의창구 태복산로 317
통영 정량점,055-645-2585,경남 통영시 통영해안로 409-1
안산본오직영점,031-501-9289,경기 안산시 상록구 석호로 363
제주 아라점,064-702-3535,제주도 제주시 아라1동 6095-10
서울목동점,02-2061-1881,서울 양천구 목동서로 291  제이월드빌 108호, 109호
성남여수점,031-752-5192,경기도 성남시 여수동 449번지
인천 만수점,032-473-5954,인천시 남동구 서판로 35
서울응암점,02-306-5235,서울 은평구 응암로 173
서울신촌본점,02- 333-9334,서울 서대문구 연세로7길 14
